Date,Acc Code,Je Source,Category,Journal Name,Gl Doc Num,Description,GL Line Description,GL Line Num,Party/Customer Name,Reference Number,Sub Doc Num,Sub Ledger Description,Accounted Dr,Accounted Cr
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076178 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166362,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,900
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076188 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166275,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,1600
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076189 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166375,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,80
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076196 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166337,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,900
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076198 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166301,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,2600
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076200 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166222,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,2680
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076208 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166338,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,900
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076225 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166296,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,2499
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076229 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166278,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,1300
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076233 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166284,Journal Import 2591614:,/CARD/RECEIPT,2,,,,,0,21800
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076238 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166105,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,350
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076240 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166297,Journal Import 2591614:,/CASH/RECEIPT,2,,,,,0,2499
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076246 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166380,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,100
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076262 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166386,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,1000
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076275 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166392,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,1100
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076286 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166232,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,800
02-09-2024,01.12102.000.0000.000.3706008.00000.000,eHIS,HIS_COLLECTION,3076292 HIS_COLLECTION 3358005YT7JQCWYLTG43,500166306,Journal Import 2591614:,/EFT/RECEIPT,2,,,,,0,1850
